BUDGET_ID	ACCOUNT_ID	CATEGORY_CODE	NAME	AMOUNT	CURRENCY	FREQUENCY_TYPE
1	1001	cv_groceries	My Monthly Groceries	400	CHF	MONTH
2	1001	cv_leisure_shopping	My Monthly Fun Shopping	40	CHF	MONTH
3	1001	cv_bars	Getting drunk yearly	2000	CHF	YEAR
4	1002	cv_bars	liquid luck	100	CHF	MONTH
5	1002	cv_mobility	OeV	200	CHF	MONTH
6	1002	cv_restaurants	eating out	500	CHF	MONTH
7	1002	cv_shoes	my shoes	1000	CHF	YEAR
8	1002	cv_sport	sports	100	CHF	MONTH
9	1003	cv_groceries	eating in	400	CHF	MONTH
10	1003	cv_cash	ATM	400	CHF	MONTH
11	1003	cv_restaurants	food food food	70	CHF	MONTH
12	1003	cv_groceries	groceries monthly	80	CHF	MONTH
13	1003	cv_gas	food for my bike	150	CHF	MONTH
14	1003	cv_beauty	pretty pretty pretty	60	CHF	MONTH
