CATEGORY_CODE	PARENT_CATEGORY_CODE
cv_accessoires	cv_leisure_shopping
cv_accountfees	cv_fees_tax_charges
cv_airplane	cv_travel
cv_alimony	cv_household
cv_amortisation	cv_housing
cv_art_culture	cv_leisure_shopping
cv_baby_utilities	cv_household
cv_bankfees	cv_fees_tax_charges
cv_bars	cv_leisure_shopping
cv_beauty	cv_leisure_shopping
cv_bonus	cv_income
cv_books	cv_leisure_shopping
cv_canton_tax	cv_fees_tax_charges
cv_car_insurance	cv_insurance
cv_car_rental	cv_mobility
cv_car_service	cv_mobility
cv_cash	NULL
cv_cheque	cv_payments
cv_children	cv_household
cv_cleaning_services	cv_household
cv_clothes	cv_leisure_shopping
cv_cloths_cleaning	cv_household
cv_coffee	cv_leisure_shopping
cv_creditcard_payment	cv_payments
cv_creditcardfees	cv_fees_tax_charges
cv_dentist	cv_health
cv_doctor	cv_health
cv_donations	cv_misc
cv_education	cv_misc
cv_electronics	cv_leisure_shopping
cv_eye_doctor	cv_health
cv_fastfood	cv_leisure_shopping
cv_federal_tax	cv_fees_tax_charges
cv_fees_tax_charges	NULL
cv_financial_advices	cv_save_invest
cv_fitness	cv_health
cv_furniture	cv_housing
cv_garden	cv_housing
cv_gas	cv_mobility
cv_groceries	cv_household
cv_hairdresser	cv_health
cv_health	NULL
cv_health_insurance	cv_insurance
cv_hobbies	cv_leisure_shopping
cv_hotel	cv_travel
cv_household	NULL
cv_household_insurance	cv_insurance
cv_housing	NULL
cv_income	NULL
cv_insurance	NULL
cv_interest_income	cv_income
cv_interest_payment	cv_misc
cv_invest	cv_save_invest
cv_jewellery	cv_leisure_shopping
cv_latefees	cv_fees_tax_charges
cv_lawyers	cv_household
cv_leasing	cv_mobility
cv_leisure_shopping	NULL
cv_life_insurance	cv_insurance
cv_massage	cv_health
cv_military_tax	cv_fees_tax_charges
cv_misc	NULL
cv_mobility	NULL
cv_monicipal_tax	cv_fees_tax_charges
cv_mortgage	cv_housing
cv_mortgage_interest	cv_housing
cv_movies	cv_leisure_shopping
cv_music	cv_leisure_shopping
cv_newspapers	cv_leisure_shopping
cv_not_categorized	NULL
cv_office	cv_household
cv_online_shopping	cv_leisure_shopping
cv_parking	cv_mobility
cv_payments	NULL
cv_pension	cv_save_invest
cv_pets	cv_misc
cv_pharmacy	cv_health
cv_phone_internet	cv_household
cv_presents	cv_misc
cv_public_transport	cv_mobility
cv_refund	cv_income
cv_rent	cv_housing
cv_rental_income	cv_income
cv_restaurants	cv_leisure_shopping
cv_save_invest	NULL
cv_shoes	cv_leisure_shopping
cv_sport	cv_leisure_shopping
cv_taxi	cv_mobility
cv_travel	NULL
cv_tv	cv_household
cv_utilities	cv_housing
cv_vacations	cv_travel
cv_wage	cv_income
cv_withholding_tax	cv_fees_tax_charges
